"","respondent","selected","distance","community","affordable","height","site","units","tenant","own","city_interest","prop_i_ban_dummy","supply_dummy"
"718","R_exGIK2etmXjLrY5",1,"1/8 mile (2 minute walk)","No opinion","None of the units","6 stories","Empty building","96 units","Rent",0,-0.1,0,1
"719","R_exGIK2etmXjLrY5",0,"1 mile (20 minute walk)","Oppose the building","All of the units","2 stories","Historically-designated building","24 units","Own",0,-0.1,0,1
"720","R_exGIK2etmXjLrY5",1,"1/2 mile (10 minute walk)","No opinion","One-quarter of the units","3 stories","Historically-designated building","12 units","Own",0,-0.1,0,1
"721","R_exGIK2etmXjLrY5",0,"2 miles (40 minute walk)","Support the building","All of the units","6 stories","Historically-designated building","48 units","Rent",0,-0.1,0,1
"722","R_exGIK2etmXjLrY5",0,"1 mile (20 minute walk)","Support the building","None of the units","6 stories","Parking lot","96 units","Own",0,-0.1,0,1
"723","R_exGIK2etmXjLrY5",1,"1/8 mile (2 minute walk)","Support the building","One-quarter of the units","12 stories","Empty building","48 units","Own",0,-0.1,0,1
"724","R_exGIK2etmXjLrY5",0,"1/8 mile (2 minute walk)","No opinion","All of the units","3 stories","Historically-designated building","12 units","Rent",0,-0.1,0,1
"725","R_1rjJhMRTnZMzgHh",1,"2 miles (40 minute walk)","Support the building","All of the units","2 stories","Open field","96 units","Own",1,-0.15,NA,NA
"726","R_1rjJhMRTnZMzgHh",1,"1/8 mile (2 minute walk)","No opinion","Half of the units","2 stories","Empty building","48 units","Own",1,-0.15,NA,NA
"727","R_1rjJhMRTnZMzgHh",0,"1/8 mile (2 minute walk)","Support the building","None of the units","3 stories","Historically-designated building","12 units","Own",1,-0.15,NA,NA
"728","R_1rjJhMRTnZMzgHh",0,"1/2 mile (10 minute walk)","No opinion","One-quarter of the units","2 stories","Parking lot","48 units","Rent",1,-0.15,NA,NA
"729","R_1rjJhMRTnZMzgHh",1,"1/2 mile (10 minute walk)","Oppose the building","All of the units","6 stories","Empty building","96 units","Own",1,-0.15,NA,NA
"730","R_1rjJhMRTnZMzgHh",0,"1/2 mile (10 minute walk)","Oppose the building","One-quarter of the units","2 stories","Historically-designated building","48 units","Rent",1,-0.15,NA,NA
"731","R_1rjJhMRTnZMzgHh",1,"2 miles (40 minute walk)","Support the building","Half of the units","2 stories","Historically-designated building","24 units","Own",1,-0.15,NA,NA
"732","R_1rjJhMRTnZMzgHh",0,"1/8 mile (2 minute walk)","Support the building","None of the units","3 stories","Empty building","24 units","Rent",1,-0.15,NA,NA
"733","R_1rjJhMRTnZMzgHh",0,"1/8 mile (2 minute walk)","Oppose the building","One-quarter of the units","12 stories","Empty building","24 units","Own",1,-0.15,NA,NA
"734","R_1rjJhMRTnZMzgHh",1,"1/8 mile (2 minute walk)","No opinion","All of the units","2 stories","Historically-designated building","12 units","Rent",1,-0.15,NA,NA
"735","R_3koGDInz6CrL23O",0,"1/8 mile (2 minute walk)","Support the building","Half of the units","6 stories","Open field","48 units","Rent",1,-0.05,1,1
"736","R_3koGDInz6CrL23O",0,"1 mile (20 minute walk)","No opinion","None of the units","2 stories","Open field","96 units","Rent",1,-0.05,1,1
"737","R_3koGDInz6CrL23O",1,"2 miles (40 minute walk)","Oppose the building","All of the units","3 stories","Parking lot","96 units","Own",1,-0.05,1,1
"738","R_3koGDInz6CrL23O",1,"1 mile (20 minute walk)","Oppose the building","All of the units","2 stories","Parking lot","48 units","Own",1,-0.05,1,1
"739","R_3koGDInz6CrL23O",0,"1 mile (20 minute walk)","Support the building","One-quarter of the units","2 stories","Open field","96 units","Own",1,-0.05,1,1
"740","R_3koGDInz6CrL23O",0,"1/2 mile (10 minute walk)","Oppose the building","None of the units","12 stories","Empty building","24 units","Own",1,-0.05,1,1
"741","R_3koGDInz6CrL23O",1,"1/2 mile (10 minute walk)","No opinion","All of the units","12 stories","Empty building","12 units","Own",1,-0.05,1,1
"742","R_3koGDInz6CrL23O",1,"1 mile (20 minute walk)","Support the building","One-quarter of the units","2 stories","Parking lot","96 units","Own",1,-0.05,1,1
"743","R_3koGDInz6CrL23O",0,"1/8 mile (2 minute walk)","Oppose the building","Half of the units","3 stories","Parking lot","96 units","Own",1,-0.05,1,1
"744","R_3koGDInz6CrL23O",1,"1/8 mile (2 minute walk)","No opinion","All of the units","6 stories","Open field","48 units","Rent",1,-0.05,1,1
"745","R_3KCTzuX8dOe1mk9",1,"2 miles (40 minute walk)","No opinion","None of the units","2 stories","Historically-designated building","96 units","Rent",0,0.1,0,1
"746","R_3KCTzuX8dOe1mk9",1,"1/8 mile (2 minute walk)","Support the building","All of the units","6 stories","Empty building","48 units","Own",0,0.1,0,1
"747","R_3KCTzuX8dOe1mk9",0,"1/8 mile (2 minute walk)","No opinion","One-quarter of the units","12 stories","Open field","12 units","Rent",0,0.1,0,1
"748","R_3KCTzuX8dOe1mk9",0,"1 mile (20 minute walk)","No opinion","One-quarter of the units","3 stories","Empty building","24 units","Own",0,0.1,0,1
"749","R_3KCTzuX8dOe1mk9",1,"1/8 mile (2 minute walk)","No opinion","One-quarter of the units","12 stories","Empty building","48 units","Own",0,0.1,0,1
"750","R_3KCTzuX8dOe1mk9",0,"1 mile (20 minute walk)","Support the building","Half of the units","3 stories","Open field","12 units","Rent",0,0.1,0,1
"751","R_3KCTzuX8dOe1mk9",1,"1 mile (20 minute walk)","Oppose the building","One-quarter of the units","12 stories","Historically-designated building","48 units","Rent",0,0.1,0,1
"752","R_3KCTzuX8dOe1mk9",0,"1 mile (20 minute walk)","No opinion","Half of the units","6 stories","Parking lot","48 units","Own",0,0.1,0,1
"753","R_3KCTzuX8dOe1mk9",0,"1/2 mile (10 minute walk)","Oppose the building","One-quarter of the units","6 stories","Parking lot","12 units","Rent",0,0.1,0,1
"754","R_3KCTzuX8dOe1mk9",1,"2 miles (40 minute walk)","No opinion","Half of the units","6 stories","Parking lot","96 units","Own",0,0.1,0,1
"755","R_3ISRhV37DKGdT8G",1,"2 miles (40 minute walk)","Oppose the building","None of the units","2 stories","Empty building","48 units","Rent",0,-0.05,1,NA
"756","R_3ISRhV37DKGdT8G",0,"2 miles (40 minute walk)","Support the building","Half of the units","12 stories","Historically-designated building","24 units","Own",0,-0.05,1,NA
"757","R_3ISRhV37DKGdT8G",1,"1/8 mile (2 minute walk)","No opinion","None of the units","2 stories","Open field","96 units","Own",0,-0.05,1,NA
"758","R_3ISRhV37DKGdT8G",0,"1/2 mile (10 minute walk)","Oppose the building","None of the units","2 stories","Historically-designated building","96 units","Own",0,-0.05,1,NA
"759","R_3ISRhV37DKGdT8G",1,"1 mile (20 minute walk)","Oppose the building","All of the units","6 stories","Parking lot","48 units","Rent",0,-0.05,1,NA
"760","R_3ISRhV37DKGdT8G",0,"1/8 mile (2 minute walk)","Oppose the building","One-quarter of the units","3 stories","Open field","24 units","Own",0,-0.05,1,NA
"761","R_3ISRhV37DKGdT8G",1,"2 miles (40 minute walk)","Support the building","One-quarter of the units","3 stories","Empty building","48 units","Rent",0,-0.05,1,NA
"762","R_3ISRhV37DKGdT8G",0,"1/8 mile (2 minute walk)","No opinion","All of the units","6 stories","Empty building","48 units","Own",0,-0.05,1,NA
"763","R_3ISRhV37DKGdT8G",1,"2 miles (40 minute walk)","Oppose the building","All of the units","6 stories","Open field","48 units","Rent",0,-0.05,1,NA
"764","R_3ISRhV37DKGdT8G",0,"2 miles (40 minute walk)","Support the building","Half of the units","6 stories","Parking lot","48 units","Rent",0,-0.05,1,NA
"765","R_xsfB9q5AIpOsurL",1,"1/8 mile (2 minute walk)","Support the building","Half of the units","3 stories","Parking lot","12 units","Rent",0,-0.1,0,NA
"766","R_xsfB9q5AIpOsurL",0,"2 miles (40 minute walk)","Oppose the building","One-quarter of the units","6 stories","Parking lot","96 units","Rent",0,-0.1,0,NA
"767","R_xsfB9q5AIpOsurL",1,"1 mile (20 minute walk)","Support the building","Half of the units","3 stories","Parking lot","96 units","Own",0,-0.1,0,NA
"768","R_xsfB9q5AIpOsurL",0,"1 mile (20 minute walk)","Support the building","None of the units","12 stories","Parking lot","48 units","Own",0,-0.1,0,NA
"769","R_xsfB9q5AIpOsurL",0,"1/8 mile (2 minute walk)","Oppose the building","One-quarter of the units","3 stories","Historically-designated building","48 units","Rent",0,-0.1,0,NA
"770","R_xsfB9q5AIpOsurL",1,"1/2 mile (10 minute walk)","Oppose the building","Half of the units","6 stories","Parking lot","24 units","Rent",0,-0.1,0,NA
"771","R_xsfB9q5AIpOsurL",0,"1/2 mile (10 minute walk)","Oppose the building","One-quarter of the units","12 stories","Parking lot","96 units","Rent",0,-0.1,0,NA
"772","R_xsfB9q5AIpOsurL",1,"1/2 mile (10 minute walk)","No opinion","One-quarter of the units","12 stories","Empty building","12 units","Own",0,-0.1,0,NA
"773","R_xsfB9q5AIpOsurL",1,"2 miles (40 minute walk)","Support the building","All of the units","2 stories","Empty building","24 units","Rent",0,-0.1,0,NA
"774","R_xsfB9q5AIpOsurL",0,"1/8 mile (2 minute walk)","Support the building","None of the units","2 stories","Empty building","12 units","Rent",0,-0.1,0,NA
"775","R_3gUHuJKYAvW63hd",0,"1 mile (20 minute walk)","No opinion","None of the units","6 stories","Historically-designated building","12 units","Own",0,-0.1,0,1
"776","R_3gUHuJKYAvW63hd",1,"1/2 mile (10 minute walk)","Support the building","None of the units","3 stories","Parking lot","24 units","Rent",0,-0.1,0,1
"777","R_3gUHuJKYAvW63hd",1,"1/2 mile (10 minute walk)","No opinion","One-quarter of the units","6 stories","Parking lot","24 units","Rent",0,-0.1,0,1
"778","R_3gUHuJKYAvW63hd",0,"2 miles (40 minute walk)","Support the building","None of the units","12 stories","Empty building","48 units","Own",0,-0.1,0,1
"779","R_3gUHuJKYAvW63hd",1,"1/8 mile (2 minute walk)","Oppose the building","All of the units","2 stories","Empty building","12 units","Rent",0,-0.1,0,1
"780","R_3gUHuJKYAvW63hd",1,"1/8 mile (2 minute walk)","Oppose the building","Half of the units","2 stories","Parking lot","24 units","Own",0,-0.1,0,1
"781","R_3gUHuJKYAvW63hd",0,"1 mile (20 minute walk)","Oppose the building","None of the units","2 stories","Historically-designated building","12 units","Rent",0,-0.1,0,1
"782","R_3gUHuJKYAvW63hd",0,"1/2 mile (10 minute walk)","No opinion","One-quarter of the units","3 stories","Parking lot","24 units","Rent",0,-0.1,0,1
"783","R_3gUHuJKYAvW63hd",1,"1 mile (20 minute walk)","Support the building","Half of the units","2 stories","Empty building","12 units","Rent",0,-0.1,0,1
"784","R_3gUHuJKYAvW63hd",0,"1 mile (20 minute walk)","Oppose the building","None of the units","3 stories","Open field","12 units","Own",0,-0.1,0,1
"785","R_1opdMCAemexxeXq",0,"1 mile (20 minute walk)","Oppose the building","One-quarter of the units","3 stories","Empty building","96 units","Rent",0,-0.1,NA,1
"786","R_1opdMCAemexxeXq",1,"1/2 mile (10 minute walk)","Support the building","Half of the units","3 stories","Historically-designated building","12 units","Rent",0,-0.1,NA,1
"787","R_1opdMCAemexxeXq",1,"1/8 mile (2 minute walk)","No opinion","Half of the units","6 stories","Historically-designated building","24 units","Own",0,-0.1,NA,1
"788","R_1opdMCAemexxeXq",0,"2 miles (40 minute walk)","Oppose the building","Half of the units","2 stories","Historically-designated building","96 units","Rent",0,-0.1,NA,1
"789","R_1opdMCAemexxeXq",1,"1/8 mile (2 minute walk)","No opinion","None of the units","3 stories","Empty building","12 units","Rent",0,-0.1,NA,1
"790","R_1opdMCAemexxeXq",0,"1 mile (20 minute walk)","Oppose the building","None of the units","3 stories","Parking lot","96 units","Own",0,-0.1,NA,1
"791","R_1opdMCAemexxeXq",1,"1 mile (20 minute walk)","Support the building","None of the units","3 stories","Parking lot","96 units","Own",0,-0.1,NA,1
"792","R_1opdMCAemexxeXq",0,"2 miles (40 minute walk)","Oppose the building","None of the units","6 stories","Open field","24 units","Rent",0,-0.1,NA,1
"793","R_1opdMCAemexxeXq",1,"1/8 mile (2 minute walk)","No opinion","Half of the units","2 stories","Historically-designated building","48 units","Own",0,-0.1,NA,1
"794","R_1opdMCAemexxeXq",0,"1/2 mile (10 minute walk)","No opinion","One-quarter of the units","2 stories","Open field","96 units","Rent",0,-0.1,NA,1
"795","R_3n7b9LLySB2rYdC",0,"1 mile (20 minute walk)","No opinion","None of the units","2 stories","Empty building","48 units","Own",0,-0.15,1,NA
"796","R_3n7b9LLySB2rYdC",1,"2 miles (40 minute walk)","No opinion","Half of the units","6 stories","Parking lot","24 units","Rent",0,-0.15,1,NA
"797","R_3n7b9LLySB2rYdC",1,"1/8 mile (2 minute walk)","Support the building","All of the units","6 stories","Open field","12 units","Rent",0,-0.15,1,NA
"798","R_3n7b9LLySB2rYdC",0,"1/2 mile (10 minute walk)","Support the building","None of the units","6 stories","Historically-designated building","96 units","Own",0,-0.15,1,NA
"799","R_3n7b9LLySB2rYdC",0,"1 mile (20 minute walk)","Oppose the building","One-quarter of the units","6 stories","Parking lot","48 units","Rent",0,-0.15,1,NA
"800","R_3n7b9LLySB2rYdC",1,"1/8 mile (2 minute walk)","No opinion","One-quarter of the units","6 stories","Parking lot","48 units","Own",0,-0.15,1,NA
"801","R_3n7b9LLySB2rYdC",1,"2 miles (40 minute walk)","Oppose the building","Half of the units","2 stories","Empty building","96 units","Rent",0,-0.15,1,NA
"802","R_3n7b9LLySB2rYdC",0,"2 miles (40 minute walk)","Oppose the building","Half of the units","3 stories","Empty building","48 units","Rent",0,-0.15,1,NA
"803","R_3n7b9LLySB2rYdC",1,"1 mile (20 minute walk)","Support the building","All of the units","6 stories","Empty building","24 units","Own",0,-0.15,1,NA
"804","R_3n7b9LLySB2rYdC",0,"1/2 mile (10 minute walk)","No opinion","One-quarter of the units","12 stories","Open field","12 units","Rent",0,-0.15,1,NA
"805","R_e376v5EqWqcyox3",0,"2 miles (40 minute walk)","Oppose the building","All of the units","12 stories","Parking lot","96 units","Rent",0,-0.05,0,1
"806","R_e376v5EqWqcyox3",0,"1/8 mile (2 minute walk)","No opinion","None of the units","2 stories","Parking lot","24 units","Own",0,-0.05,0,1
"807","R_e376v5EqWqcyox3",1,"1/2 mile (10 minute walk)","Oppose the building","One-quarter of the units","3 stories","Empty building","12 units","Own",0,-0.05,0,1
"808","R_e376v5EqWqcyox3",1,"2 miles (40 minute walk)","No opinion","Half of the units","12 stories","Historically-designated building","96 units","Rent",0,-0.05,0,1
"809","R_e376v5EqWqcyox3",1,"1/8 mile (2 minute walk)","Support the building","One-quarter of the units","12 stories","Open field","24 units","Rent",0,-0.05,0,1
"810","R_e376v5EqWqcyox3",1,"2 miles (40 minute walk)","No opinion","One-quarter of the units","3 stories","Historically-designated building","12 units","Rent",0,-0.05,0,1
"811","R_e376v5EqWqcyox3",0,"2 miles (40 minute walk)","Support the building","All of the units","2 stories","Historically-designated building","48 units","Own",0,-0.05,0,1
"812","R_e376v5EqWqcyox3",0,"1/2 mile (10 minute walk)","No opinion","One-quarter of the units","2 stories","Open field","48 units","Own",0,-0.05,0,1
"813","R_e376v5EqWqcyox3",0,"1/2 mile (10 minute walk)","No opinion","All of the units","3 stories","Empty building","48 units","Rent",0,-0.05,0,1
"814","R_e376v5EqWqcyox3",1,"1 mile (20 minute walk)","No opinion","Half of the units","12 stories","Parking lot","48 units","Rent",0,-0.05,0,1
"815","R_Ajm0MRkMP3lmDvP",0,"1/2 mile (10 minute walk)","No opinion","All of the units","2 stories","Parking lot","96 units","Own",0,0.05,0,1
"816","R_Ajm0MRkMP3lmDvP",1,"1 mile (20 minute walk)","No opinion","Half of the units","3 stories","Empty building","12 units","Own",0,0.05,0,1
"817","R_Ajm0MRkMP3lmDvP",1,"1/2 mile (10 minute walk)","Support the building","One-quarter of the units","2 stories","Empty building","48 units","Rent",0,0.05,0,1
"818","R_Ajm0MRkMP3lmDvP",0,"1 mile (20 minute walk)","Support the building","Half of the units","3 stories","Open field","96 units","Rent",0,0.05,0,1
"819","R_Ajm0MRkMP3lmDvP",1,"1/2 mile (10 minute walk)","No opinion","One-quarter of the units","12 stories","Open field","96 units","Rent",0,0.05,0,1
"820","R_Ajm0MRkMP3lmDvP",1,"1 mile (20 minute walk)","Support the building","One-quarter of the units","12 stories","Empty building","12 units","Rent",0,0.05,0,1
"821","R_Ajm0MRkMP3lmDvP",0,"1 mile (20 minute walk)","Oppose the building","One-quarter of the units","2 stories","Historically-designated building","24 units","Own",0,0.05,0,1
"822","R_Ajm0MRkMP3lmDvP",0,"1 mile (20 minute walk)","No opinion","None of the units","2 stories","Parking lot","24 units","Own",0,0.05,0,1
"823","R_Ajm0MRkMP3lmDvP",1,"1/8 mile (2 minute walk)","Oppose the building","None of the units","6 stories","Open field","48 units","Own",0,0.05,0,1
"824","R_Ajm0MRkMP3lmDvP",0,"1/8 mile (2 minute walk)","Support the building","All of the units","6 stories","Open field","96 units","Own",0,0.05,0,1
"825","R_11bYGo2XxVEeNxj",1,"1/8 mile (2 minute walk)","Oppose the building","Half of the units","2 stories","Parking lot","24 units","Rent",0,-0.15,0,1
"826","R_11bYGo2XxVEeNxj",0,"1 mile (20 minute walk)","Oppose the building","None of the units","2 stories","Parking lot","24 units","Own",0,-0.15,0,1
"827","R_11bYGo2XxVEeNxj",0,"1/2 mile (10 minute walk)","Support the building","Half of the units","6 stories","Historically-designated building","24 units","Rent",0,-0.15,0,1
"828","R_11bYGo2XxVEeNxj",0,"1/8 mile (2 minute walk)","No opinion","None of the units","2 stories","Empty building","48 units","Own",0,-0.15,0,1
"829","R_11bYGo2XxVEeNxj",1,"1 mile (20 minute walk)","Support the building","One-quarter of the units","3 stories","Parking lot","24 units","Own",0,-0.15,0,1
"830","R_11bYGo2XxVEeNxj",1,"1/8 mile (2 minute walk)","Oppose the building","One-quarter of the units","12 stories","Empty building","48 units","Rent",0,-0.15,0,1
"831","R_11bYGo2XxVEeNxj",0,"2 miles (40 minute walk)","No opinion","Half of the units","2 stories","Parking lot","12 units","Own",0,-0.15,0,1
"832","R_11bYGo2XxVEeNxj",1,"1/2 mile (10 minute walk)","Support the building","All of the units","3 stories","Open field","12 units","Rent",0,-0.15,0,1
"833","R_11bYGo2XxVEeNxj",1,"1/8 mile (2 minute walk)","No opinion","One-quarter of the units","2 stories","Historically-designated building","12 units","Rent",0,-0.15,0,1
"834","R_11bYGo2XxVEeNxj",0,"2 miles (40 minute walk)","No opinion","One-quarter of the units","3 stories","Open field","24 units","Own",0,-0.15,0,1
"835","R_1mLxxQnQfvHDeFn",1,"1 mile (20 minute walk)","Oppose the building","None of the units","3 stories","Open field","24 units","Rent",0,-0.15,1,NA
"836","R_1mLxxQnQfvHDeFn",0,"1/2 mile (10 minute walk)","Oppose the building","All of the units","6 stories","Open field","48 units","Own",0,-0.15,1,NA
"837","R_1mLxxQnQfvHDeFn",1,"1/2 mile (10 minute walk)","No opinion","All of the units","2 stories","Empty building","12 units","Rent",0,-0.15,1,NA
"838","R_1mLxxQnQfvHDeFn",0,"1/8 mile (2 minute walk)","Oppose the building","All of the units","12 stories","Historically-designated building","24 units","Own",0,-0.15,1,NA
"839","R_1mLxxQnQfvHDeFn",0,"1 mile (20 minute walk)","Oppose the building","None of the units","6 stories","Parking lot","48 units","Own",0,-0.15,1,NA
"840","R_1mLxxQnQfvHDeFn",1,"1/2 mile (10 minute walk)","No opinion","None of the units","6 stories","Parking lot","48 units","Rent",0,-0.15,1,NA
"841","R_1mLxxQnQfvHDeFn",0,"2 miles (40 minute walk)","Support the building","None of the units","12 stories","Open field","12 units","Rent",0,-0.15,1,NA
"842","R_1mLxxQnQfvHDeFn",1,"1/2 mile (10 minute walk)","No opinion","All of the units","3 stories","Open field","24 units","Rent",0,-0.15,1,NA
"843","R_1mLxxQnQfvHDeFn",0,"1 mile (20 minute walk)","Support the building","None of the units","12 stories","Open field","48 units","Own",0,-0.15,1,NA
"844","R_1mLxxQnQfvHDeFn",1,"1/2 mile (10 minute walk)","No opinion","All of the units","12 stories","Empty building","12 units","Own",0,-0.15,1,NA
"845","R_WkAjVestIku7NER",0,"2 miles (40 minute walk)","Support the building","One-quarter of the units","12 stories","Empty building","12 units","Own",0,0,NA,1
"846","R_WkAjVestIku7NER",1,"1/8 mile (2 minute walk)","Support the building","Half of the units","6 stories","Empty building","12 units","Own",0,0,NA,1
"847","R_WkAjVestIku7NER",0,"1/2 mile (10 minute walk)","Support the building","One-quarter of the units","2 stories","Empty building","12 units","Rent",0,0,NA,1
"848","R_WkAjVestIku7NER",1,"2 miles (40 minute walk)","Oppose the building","Half of the units","6 stories","Empty building","48 units","Own",0,0,NA,1
"849","R_WkAjVestIku7NER",0,"1 mile (20 minute walk)","No opinion","Half of the units","2 stories","Parking lot","24 units","Own",0,0,NA,1
"850","R_WkAjVestIku7NER",1,"1/8 mile (2 minute walk)","Oppose the building","None of the units","12 stories","Empty building","96 units","Own",0,0,NA,1
"851","R_WkAjVestIku7NER",0,"1 mile (20 minute walk)","Oppose the building","None of the units","2 stories","Open field","48 units","Rent",0,0,NA,1
"852","R_WkAjVestIku7NER",1,"2 miles (40 minute walk)","No opinion","Half of the units","3 stories","Parking lot","48 units","Own",0,0,NA,1
"853","R_WkAjVestIku7NER",0,"2 miles (40 minute walk)","Support the building","One-quarter of the units","3 stories","Parking lot","24 units","Own",0,0,NA,1
"854","R_WkAjVestIku7NER",1,"1 mile (20 minute walk)","No opinion","One-quarter of the units","12 stories","Parking lot","48 units","Own",0,0,NA,1
"855","R_1HoV2UYSamWwKhS",1,"1 mile (20 minute walk)","Support the building","One-quarter of the units","12 stories","Empty building","96 units","Own",0,-0.15,0,1
"856","R_1HoV2UYSamWwKhS",0,"1/2 mile (10 minute walk)","No opinion","Half of the units","2 stories","Open field","24 units","Own",0,-0.15,0,1
"857","R_1HoV2UYSamWwKhS",1,"2 miles (40 minute walk)","No opinion","Half of the units","12 stories","Empty building","12 units","Own",0,-0.15,0,1
"858","R_1HoV2UYSamWwKhS",0,"1 mile (20 minute walk)","No opinion","All of the units","2 stories","Historically-designated building","24 units","Own",0,-0.15,0,1
"859","R_1HoV2UYSamWwKhS",1,"1 mile (20 minute walk)","No opinion","Half of the units","3 stories","Parking lot","24 units","Own",0,-0.15,0,1
"860","R_1HoV2UYSamWwKhS",1,"1/2 mile (10 minute walk)","Support the building","None of the units","12 stories","Open field","24 units","Own",0,-0.15,0,1
"861","R_1HoV2UYSamWwKhS",0,"2 miles (40 minute walk)","Support the building","None of the units","6 stories","Historically-designated building","12 units","Rent",0,-0.15,0,1
"862","R_1HoV2UYSamWwKhS",1,"2 miles (40 minute walk)","No opinion","None of the units","6 stories","Empty building","12 units","Rent",0,-0.15,0,1
"863","R_1HoV2UYSamWwKhS",0,"1/2 mile (10 minute walk)","Oppose the building","None of the units","6 stories","Parking lot","96 units","Rent",0,-0.15,0,1
"864","R_1HoV2UYSamWwKhS",0,"2 miles (40 minute walk)","Support the building","None of the units","3 stories","Historically-designated building","48 units","Own",0,-0.15,0,1
"865","R_21FjBq9492y5ZmQ",1,"1/8 mile (2 minute walk)","Oppose the building","Half of the units","12 stories","Historically-designated building","96 units","Own",1,0,0,1
"866","R_21FjBq9492y5ZmQ",1,"1 mile (20 minute walk)","No opinion","None of the units","6 stories","Open field","48 units","Rent",1,0,0,1
"867","R_21FjBq9492y5ZmQ",0,"2 miles (40 minute walk)","Support the building","Half of the units","2 stories","Historically-designated building","12 units","Own",1,0,0,1
"868","R_21FjBq9492y5ZmQ",0,"1/2 mile (10 minute walk)","No opinion","All of the units","6 stories","Empty building","12 units","Rent",1,0,0,1
"869","R_21FjBq9492y5ZmQ",1,"1/8 mile (2 minute walk)","No opinion","None of the units","2 stories","Historically-designated building","24 units","Own",1,0,0,1
"870","R_21FjBq9492y5ZmQ",0,"1/8 mile (2 minute walk)","Oppose the building","None of the units","3 stories","Open field","24 units","Own",1,0,0,1
"871","R_21FjBq9492y5ZmQ",1,"2 miles (40 minute walk)","No opinion","One-quarter of the units","6 stories","Parking lot","48 units","Own",1,0,0,1
"872","R_21FjBq9492y5ZmQ",0,"1 mile (20 minute walk)","No opinion","One-quarter of the units","3 stories","Open field","48 units","Own",1,0,0,1
"873","R_21FjBq9492y5ZmQ",1,"1/8 mile (2 minute walk)","No opinion","One-quarter of the units","2 stories","Empty building","96 units","Rent",1,0,0,1
"874","R_21FjBq9492y5ZmQ",0,"2 miles (40 minute walk)","Oppose the building","None of the units","2 stories","Empty building","96 units","Rent",1,0,0,1
"875","R_1llOg6RAbfugU2P",1,"2 miles (40 minute walk)","Oppose the building","All of the units","3 stories","Parking lot","48 units","Own",0,-0.15,0,1
"876","R_1llOg6RAbfugU2P",0,"1 mile (20 minute walk)","Oppose the building","None of the units","2 stories","Historically-designated building","48 units","Own",0,-0.15,0,1
"877","R_1llOg6RAbfugU2P",1,"1 mile (20 minute walk)","Oppose the building","Half of the units","3 stories","Open field","24 units","Rent",0,-0.15,0,1
"878","R_1llOg6RAbfugU2P",0,"2 miles (40 minute walk)","No opinion","One-quarter of the units","6 stories","Historically-designated building","24 units","Rent",0,-0.15,0,1
"879","R_1llOg6RAbfugU2P",1,"2 miles (40 minute walk)","No opinion","Half of the units","12 stories","Historically-designated building","12 units","Rent",0,-0.15,0,1
"880","R_1llOg6RAbfugU2P",0,"1 mile (20 minute walk)","No opinion","All of the units","6 stories","Parking lot","24 units","Own",0,-0.15,0,1
"881","R_1llOg6RAbfugU2P",0,"1/2 mile (10 minute walk)","Oppose the building","None of the units","12 stories","Historically-designated building","24 units","Rent",0,-0.15,0,1
"882","R_1llOg6RAbfugU2P",1,"2 miles (40 minute walk)","Oppose the building","One-quarter of the units","3 stories","Empty building","48 units","Rent",0,-0.15,0,1
"883","R_1llOg6RAbfugU2P",1,"1/2 mile (10 minute walk)","Support the building","All of the units","3 stories","Parking lot","96 units","Rent",0,-0.15,0,1
"884","R_1llOg6RAbfugU2P",0,"1/2 mile (10 minute walk)","No opinion","One-quarter of the units","2 stories","Open field","24 units","Own",0,-0.15,0,1
"885","R_4HFxfEpl1gp0VgZ",0,"1/8 mile (2 minute walk)","Oppose the building","All of the units","12 stories","Open field","12 units","Rent",0,-0.1,NA,NA
"886","R_4HFxfEpl1gp0VgZ",1,"1/8 mile (2 minute walk)","Oppose the building","Half of the units","2 stories","Historically-designated building","48 units","Rent",0,-0.1,NA,NA
"887","R_4HFxfEpl1gp0VgZ",1,"2 miles (40 minute walk)","No opinion","All of the units","2 stories","Empty building","96 units","Rent",0,-0.1,NA,NA
"888","R_4HFxfEpl1gp0VgZ",0,"1/8 mile (2 minute walk)","Support the building","None of the units","2 stories","Parking lot","48 units","Own",0,-0.1,NA,NA
"889","R_4HFxfEpl1gp0VgZ",1,"2 miles (40 minute walk)","No opinion","All of the units","12 stories","Empty building","48 units","Rent",0,-0.1,NA,NA
"890","R_4HFxfEpl1gp0VgZ",0,"1/2 mile (10 minute walk)","Support the building","All of the units","3 stories","Parking lot","96 units","Own",0,-0.1,NA,NA
"891","R_4HFxfEpl1gp0VgZ",0,"1 mile (20 minute walk)","Oppose the building","One-quarter of the units","3 stories","Historically-designated building","24 units","Rent",0,-0.1,NA,NA
"892","R_4HFxfEpl1gp0VgZ",1,"2 miles (40 minute walk)","Oppose the building","Half of the units","2 stories","Parking lot","48 units","Rent",0,-0.1,NA,NA
"893","R_4HFxfEpl1gp0VgZ",0,"1/2 mile (10 minute walk)","No opinion","One-quarter of the units","12 stories","Historically-designated building","24 units","Rent",0,-0.1,NA,NA
"894","R_4HFxfEpl1gp0VgZ",1,"2 miles (40 minute walk)","Oppose the building","All of the units","3 stories","Open field","24 units","Rent",0,-0.1,NA,NA
"895","R_2to423MNRsYdcfr",1,"2 miles (40 minute walk)","Oppose the building","All of the units","12 stories","Parking lot","48 units","Rent",0,0.15,0,1
