"","own","prop_a_dummy","prop_d_dummy","prop_f_dummy","prop_i_dummy","prop_i_ban_dummy","supply_dummy","rent_control","income_cat","ideology","whitenh"
"320",NA,0,1,1,0,0,NA,NA,NA,NA,NA
"321",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"322",0,1,0,1,1,1,NA,0,NA,NA,0
"323",1,1,1,0,1,NA,1,0,4,7,1
"324",0,0,0,1,1,1,0,0,2,6,1
"325",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"326",NA,1,1,1,1,0,NA,NA,NA,NA,NA
"327",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"328",NA,1,1,NA,0,NA,NA,NA,NA,NA,NA
"329",NA,1,0,1,0,1,NA,NA,NA,NA,NA
"330",0,1,1,0,1,1,1,0,NA,7,1
"331",NA,0,1,1,1,1,NA,NA,NA,NA,NA
"332",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"333",NA,1,1,1,0,0,NA,NA,NA,NA,NA
"334",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"335",NA,1,0,1,1,NA,NA,NA,NA,NA,NA
"336",0,1,1,1,1,1,0,1,NA,7,1
"337",NA,0,0,1,1,1,NA,NA,NA,NA,NA
"338",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"339",NA,1,0,1,1,1,NA,NA,NA,NA,NA
"340",NA,1,NA,0,0,1,NA,NA,NA,NA,NA
"341",NA,1,1,0,1,0,NA,NA,NA,NA,NA
"342",0,1,1,1,1,NA,1,1,6,7,0
"343",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"344",NA,0,1,1,1,1,NA,NA,NA,NA,NA
"345",NA,1,1,1,0,1,NA,NA,NA,NA,NA
"346",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"347",NA,0,1,1,1,1,NA,NA,NA,NA,NA
"348",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"349",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"350",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"351",NA,0,1,1,1,1,NA,NA,NA,NA,NA
"352",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"353",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"354",NA,1,0,0,0,0,NA,NA,NA,NA,NA
"355",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"356",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"357",0,1,1,1,1,1,0,1,NA,7,0
"358",NA,1,0,1,1,1,NA,NA,NA,NA,NA
"359",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"360",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"361",NA,1,0,1,1,1,NA,NA,NA,NA,NA
"362",NA,1,1,1,0,0,NA,NA,NA,NA,NA
"363",0,1,1,1,0,0,1,1,5,7,1
"364",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"365",NA,0,0,1,1,1,NA,NA,NA,NA,NA
"366",NA,1,0,1,1,NA,NA,NA,NA,NA,NA
"367",NA,0,1,0,0,NA,NA,NA,NA,NA,NA
"368",NA,1,1,1,NA,NA,NA,NA,NA,NA,NA
"369",NA,1,1,0,1,1,NA,NA,NA,NA,NA
"370",0,1,1,1,1,1,1,1,5,7,1
"371",NA,1,0,1,0,0,NA,NA,NA,NA,NA
"372",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"373",NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA
"374",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"375",NA,0,0,1,1,1,NA,NA,NA,NA,NA
"376",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"377",NA,1,1,0,1,1,NA,NA,NA,NA,NA
"378",NA,0,0,0,1,0,NA,NA,NA,NA,NA
"379",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"380",NA,1,1,0,1,1,NA,NA,NA,NA,NA
"381",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"382",NA,1,1,1,1,NA,NA,NA,NA,NA,NA
"383",NA,1,0,1,1,1,NA,NA,NA,NA,NA
"384",NA,1,0,1,1,1,NA,NA,NA,NA,NA
"385",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"386",0,1,1,0,1,1,1,0,4,6,1
"387",NA,1,0,0,1,1,NA,NA,NA,NA,NA
"388",NA,1,1,0,0,NA,NA,NA,NA,NA,NA
"389",NA,0,0,0,0,0,NA,NA,NA,NA,NA
"390",0,1,1,0,0,0,1,1,5,6,1
"391",NA,0,1,0,0,0,NA,NA,NA,NA,NA
"392",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"393",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"394",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"395",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"396",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"397",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"398",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"399",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"400",NA,1,1,1,0,0,NA,NA,NA,NA,NA
"401",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"402",0,NA,NA,NA,NA,NA,1,1,6,6,1
"403",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"404",NA,1,1,1,1,NA,NA,NA,NA,NA,NA
"405",NA,1,NA,0,1,1,NA,NA,NA,NA,NA
"406",NA,1,1,0,1,1,NA,NA,NA,NA,NA
"407",NA,1,0,1,1,NA,NA,NA,NA,NA,NA
"408",NA,1,1,1,1,NA,NA,NA,NA,NA,NA
"409",0,1,1,1,0,0,1,1,5,6,1
"410",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"411",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"412",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"413",0,1,1,0,0,NA,1,1,2,6,1
"414",NA,0,1,0,0,0,NA,NA,NA,NA,NA
"415",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"416",NA,1,1,0,1,1,NA,NA,NA,NA,NA
"417",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"418",NA,NA,1,0,0,0,NA,NA,NA,NA,NA
"419",1,NA,NA,NA,NA,0,NA,0,NA,NA,0
"420",NA,1,1,1,0,0,NA,NA,NA,NA,NA
"421",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"422",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"423",NA,0,0,1,1,1,NA,NA,NA,NA,NA
"424",NA,0,0,1,1,1,NA,NA,NA,NA,NA
"425",NA,0,1,0,0,0,NA,NA,NA,NA,NA
"426",0,1,1,1,1,1,1,1,NA,6,0
"427",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"428",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"429",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"430",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"431",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"432",NA,0,0,1,1,1,NA,NA,NA,NA,NA
"433",NA,1,1,1,1,NA,NA,NA,NA,NA,NA
"434",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"435",0,1,1,0,0,0,1,0,4,6,1
"436",NA,1,1,0,1,NA,NA,NA,NA,NA,NA
"437",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"438",0,1,1,1,0,0,1,1,2,6,1
"439",NA,1,0,1,1,1,NA,NA,NA,NA,NA
"440",0,1,1,1,0,0,NA,1,6,6,1
"441",NA,1,1,0,1,1,NA,NA,NA,NA,NA
